time,Region1Beijing_PV_Central,Region2Tianjin_PV_Central,Region3Hebei_PV_Central,Region4Shanxi_PV_Central,Region5Innermongolia_PV_Central,Region6Liaoning_PV_Central,Region7Jilin_PV_Central,Region8Heilongjiang_PV_Central,Region9Shanghai_PV_Central,Region10Jiangsu_PV_Central,Region11Zhejiang_PV_Central,Region12Anhui_PV_Central,Region13Fujian_PV_Central,Region14Jiangxi_PV_Central,Region15Shandong_PV_Central,Region16Henan_PV_Central,Region17Hubei_PV_Central,Region18Hunan_PV_Central,Region19Guangdong_PV_Central,Region20Guangxi_PV_Central,Region21Hainan_PV_Central,Region22Chongqing_PV_Central,Region23Sichuan_PV_Central,Region24Guizhou_PV_Central,Region25Yunnan_PV_Central,Region26Tibet_PV_Central,Region27Shaanxi_PV_Central,Region28Gansu_PV_Central,Region29Qinghai_PV_Central,Region30Ningxia_PV_Central,Region31Xinjiang_PV_Central,Region1Beijing_Wind_Onshore,Region2Tianjin_Wind_Onshore,Region3Hebei_Wind_Onshore,Region4Shanxi_Wind_Onshore,Region5Innermongolia_Wind_Onshore,Region6Liaoning_Wind_Onshore,Region7Jilin_Wind_Onshore,Region8Heilongjiang_Wind_Onshore,Region9Shanghai_Wind_Onshore,Region10Jiangsu_Wind_Onshore,Region11Zhejiang_Wind_Onshore,Region12Anhui_Wind_Onshore,Region13Fujian_Wind_Onshore,Region14Jiangxi_Wind_Onshore,Region15Shandong_Wind_Onshore,Region16Henan_Wind_Onshore,Region17Hubei_Wind_Onshore,Region18Hunan_Wind_Onshore,Region19Guangdong_Wind_Onshore,Region20Guangxi_Wind_Onshore,Region21Hainan_Wind_Onshore,Region22Chongqing_Wind_Onshore,Region23Sichuan_Wind_Onshore,Region24Guizhou_Wind_Onshore,Region25Yunnan_Wind_Onshore,Region26Tibet_Wind_Onshore,Region27Shaanxi_Wind_Onshore,Region28Gansu_Wind_Onshore,Region29Qinghai_Wind_Onshore,Region30Ningxia_Wind_Onshore,Region31Xinjiang_Wind_Onshore,Region1Beijing_PV_Distribution,Region2Tianjin_PV_Distribution,Region3Hebei_PV_Distribution,Region4Shanxi_PV_Distribution,Region5Innermongolia_PV_Distribution,Region6Liaoning_PV_Distribution,Region7Jilin_PV_Distribution,Region8Heilongjiang_PV_Distribution,Region9Shanghai_PV_Distribution,Region10Jiangsu_PV_Distribution,Region11Zhejiang_PV_Distribution,Region12Anhui_PV_Distribution,Region13Fujian_PV_Distribution,Region14Jiangxi_PV_Distribution,Region15Shandong_PV_Distribution,Region16Henan_PV_Distribution,Region17Hubei_PV_Distribution,Region18Hunan_PV_Distribution,Region19Guangdong_PV_Distribution,Region20Guangxi_PV_Distribution,Region21Hainan_PV_Distribution,Region22Chongqing_PV_Distribution,Region23Sichuan_PV_Distribution,Region24Guizhou_PV_Distribution,Region25Yunnan_PV_Distribution,Region26Tibet_PV_Distribution,Region27Shaanxi_PV_Distribution,Region28Gansu_PV_Distribution,Region29Qinghai_PV_Distribution,Region30Ningxia_PV_Distribution,Region31Xinjiang_PV_Distribution,Region1Beijing_Wind_Offshore,Region2Tianjin_Wind_Offshore,Region3Hebei_Wind_Offshore,Region4Shanxi_Wind_Offshore,Region5Innermongolia_Wind_Offshore,Region6Liaoning_Wind_Offshore,Region7Jilin_Wind_Offshore,Region8Heilongjiang_Wind_Offshore,Region9Shanghai_Wind_Offshore,Region10Jiangsu_Wind_Offshore,Region11Zhejiang_Wind_Offshore,Region12Anhui_Wind_Offshore,Region13Fujian_Wind_Offshore,Region14Jiangxi_Wind_Offshore,Region15Shandong_Wind_Offshore,Region16Henan_Wind_Offshore,Region17Hubei_Wind_Offshore,Region18Hunan_Wind_Offshore,Region19Guangdong_Wind_Offshore,Region20Guangxi_Wind_Offshore,Region21Hainan_Wind_Offshore,Region22Chongqing_Wind_Offshore,Region23Sichuan_Wind_Offshore,Region24Guizhou_Wind_Offshore,Region25Yunnan_Wind_Offshore,Region26Tibet_Wind_Offshore,Region27Shaanxi_Wind_Offshore,Region28Gansu_Wind_Offshore,Region29Qinghai_Wind_Offshore,Region30Ningxia_Wind_Offshore,Region31Xinjiang_Wind_Offshore
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11259018538122792,0.09915901380510514,0.23488179991822405,0.08088298344489758,0.3171549577769393,0.18512355057487043,0.06018221332371976,0.03204578029639281,0.1817794139685961,0.0662819314396243,0.14570735718670016,0.09398641767532315,0.15029120620353517,0.1266116947149752,0.025763127108987465,0.1855198107823931,0.19361934849938717,0.17657765673390566,0.3993519247935513,0.17225761538466858,0.1929474836065181,0.1203265705747592,0.19345226200025395,0.08766081488099614,0.18054171289985646,0.2913312485856722,0.18386262710440276,0.10266584958082797,0.1639364623848569,0.22171596766466783,0.3282910052787118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16715425716395912,0.04277612914671711,0.0,0.0,0.11913365392979383,0.0,0.0,0.17943216905340653,0.09665689015596719,0.1748770185607674,0.0,0.19203152392904405,0.0,0.11242870312100856,0.0,0.0,0.0,0.05836288469173632,0.0717005678886137,0.3001265030296927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11322999013273918,0.1084498044680473,0.24711690089066718,0.06455002613492428,0.31239749019960583,0.17379051528848888,0.07240221895989386,0.03676891855365192,0.1941601799730197,0.060626619300202175,0.1444296522088024,0.10946646787113762,0.1391217336934034,0.1252357187666498,0.026684352680013776,0.2036410947465752,0.19291153699153696,0.152177416856968,0.4058584196038667,0.19041248517235942,0.20835207329086178,0.12375343601829258,0.2078575310267703,0.07788978690151163,0.16907787428808296,0.28940966614342106,0.19937547451376547,0.10901681699965354,0.14367428545152813,0.21256370534121805,0.3297901828421971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1685744161709337,0.03305256292430018,0.0,0.0,0.10906873876267499,0.0,0.0,0.1842753308660708,0.09911786861509524,0.1760792638603743,0.0,0.19215594600031383,0.0,0.10966645863099084,0.0,0.0,0.0,0.06754976278116559,0.08279033146139325,0.3111452415007358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11324001501381727,0.10804748424604417,0.296858262514893,0.0622878774269877,0.33805879328227034,0.1780658940030283,0.07933700467212969,0.04777150353590148,0.21484777453782858,0.048713664549488736,0.15906642015128636,0.10757331194861837,0.1391102970495727,0.13444524293851598,0.03990749372383819,0.23770800082629917,0.18520780353156854,0.156872629155932,0.48163119518481984,0.22251442884007705,0.23810091036314363,0.13354091011781066,0.24757406581662322,0.07787284418904092,0.17960836103174882,0.31077271641400017,0.262582512956347,0.13180743471800385,0.1309473030008481,0.2276601155890225,0.3479590970869162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15952700450083943,0.028159065031061234,0.0,0.0,0.10503311088619414,0.0,0.0,0.20070472729329117,0.10721654920097305,0.186487035239653,0.0,0.20469541090698543,0.0,0.09654832570348214,0.0,0.0,0.0,0.07548579107328178,0.09265251787289165,0.33851435009131425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10610297844197604,0.09603810476340151,0.3198653162024541,0.0682559554140381,0.31750770214134144,0.18274659166002094,0.09285968056418464,0.053343882969326774,0.18698498099862831,0.03579798358999037,0.16104029830852126,0.10135118156263567,0.13227885178418441,0.13690083324202396,0.06318553570330211,0.26951500636864345,0.15001128641625766,0.1556122568039137,0.4782328170605237,0.22278279348824045,0.23489239484011334,0.13979680573680042,0.26951606655944255,0.07565098136162242,0.1652128700888022,0.327122636303653,0.2678195925230418,0.13530957791595327,0.10166653863892319,0.22286207281016032,0.3308059155225127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17188725492762763,0.028198763669127252,0.0,0.0,0.09928096824409516,0.0,0.0,0.2019991499499256,0.11385038455117681,0.1976297667337154,0.0,0.2040986920711618,0.0,0.09120984463431349,0.0,0.0,0.0,0.0889432367529282,0.10890621470099346,0.3404952812240191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09965403759989588,0.07849639988116927,0.319027840974338,0.06505449494839777,0.2910169474292117,0.1919261142191803,0.09984718601070457,0.05523094789497121,0.15061709138766213,0.03215043161952531,0.15896394829338706,0.10654005557162415,0.1275536439843719,0.1322677953388852,0.06416384786585094,0.30255421109433206,0.1392923990209028,0.1665771598489971,0.48852238374535023,0.2295100703209335,0.2314744076334131,0.13096108353111216,0.26238655998017324,0.0725523947026978,0.13099368010861934,0.30758944128546284,0.27738504618068716,0.13229576920188618,0.0898724191147771,0.222915576171682,0.3079800070032693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17169773710074776,0.026681468661318212,0.0,0.0,0.09367071813821982,0.0,0.0,0.20344801019598016,0.11400737073580315,0.20871093559645615,0.0,0.19450114141607994,0.0,0.08734139696091402,0.0,0.0,0.0,0.09846738293870982,0.1201343734199511,0.33962273277612987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09597894137511637,0.06248854036455055,0.2814126856665844,0.04798974560708705,0.24934328138369355,0.18168487746385975,0.10083174355828195,0.05011254220341101,0.11437876000682701,0.038357698847166444,0.13886389197852708,0.0993455891481853,0.11320412579448484,0.11205336632408389,0.06640516337765817,0.26804829526780344,0.14776049137683206,0.16773633275272956,0.41147480062985053,0.21046299168764954,0.2045537370754774,0.12103108678047461,0.2578884249859934,0.06948324583229695,0.1020032858505582,0.29000356843887626,0.2494948371662849,0.12314741330064122,0.08310660310155665,0.20574533801983597,0.25731576124738353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158418677951047,0.02490843704491375,0.0,0.0,0.08697048319744982,0.0,0.0,0.19309819473949463,0.10437864088681519,0.2035354236067907,0.0,0.17151910598863634,0.0,0.08112855747442009,0.0,0.0,0.0,0.08958858507146772,0.10916729796370865,0.3179216557671566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09698836059529815,0.04972645588459085,0.25450383540280297,0.0421329095927437,0.2390000351821675,0.18206290799628674,0.0966165038231593,0.03795766784213612,0.10001225202258884,0.039983953567567475,0.13004894909225298,0.0761330326208552,0.10578608077926983,0.09373114095173357,0.06604646448169291,0.2657694334777469,0.15668695004867875,0.1806163656026513,0.40367174839064435,0.20102673417302205,0.1883296821377433,0.1099897284890036,0.2573032798405986,0.07497231297668933,0.08950646355800224,0.2730209613340609,0.24338094233805385,0.11442869775439587,0.08847870815620788,0.21029831207528432,0.24310897975180618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13508683836291224,0.024622806756467847,0.0,0.0,0.0808786988856432,0.0,0.0,0.19011401030218178,0.10243871883309896,0.20543559504871875,0.0,0.13363142118085033,0.0,0.07995215704644264,0.0,0.0,0.0,0.09383632963939145,0.11428645573319594,0.3064436808222614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08605322378182693,0.0380585255092064,0.2508610695348309,0.0459635203092172,0.2237611725188934,0.1841336076395645,0.09234634476858442,0.032467319383900135,0.09305781229532599,0.04209217704058662,0.12109353192683495,0.06457482879793472,0.10632895607303543,0.078418655702329,0.06417692303168147,0.2623970487440216,0.17022916060134852,0.17722669614387845,0.36905304701318464,0.20024512249508367,0.18067699593625264,0.0932744788692179,0.2531582534752493,0.07845531059694107,0.08323857228754986,0.18560540424364547,0.2419001170631953,0.10285219906645318,0.10047544275994656,0.21964179863532968,0.23509314112809027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13555638460850553,0.027181164085493786,0.0,0.0,0.08208549381635323,0.0,0.0,0.18906750779455103,0.09736561024526144,0.20591417357309727,0.0,0.13117925849741827,0.0,0.07796208307064277,0.0,0.0,0.0,0.10995911286608945,0.1339945659443562,0.29373431385283894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.004294531032524523,0.008674327184457578,0.00032162206928759024,6.13242801510126e-5,0.004257959974751719,0.013761361418764982,0.018635226738958656,0.038659564791880346,0.05281713387692874,0.032281308159209564,0.032218309407334465,0.021601287313940863,0.047003129240794674,0.026314812007006506,0.03007449229148092,0.001051724689192923,0.009926300963715329,0.0061216382994966215,0.04273468360464814,0.009838181415425425,0.010811005354708206,0.0,0.0,0.00036227117013135806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07647166806625745,0.03148938491722356,0.24119139028681397,0.04587709465697208,0.2100142274714256,0.18247717165640703,0.08927894856510865,0.028979527827999653,0.08484387697943277,0.04224438677870817,0.1134842756201472,0.05935850120644787,0.10850233597362498,0.07079475888785902,0.061740223585484616,0.24968887161378234,0.17332203428877044,0.17078799588225252,0.3367175151955305,0.19938903543917738,0.17698757237450344,0.07987960043765181,0.24338276962703792,0.07854787885281922,0.07873553626968592,0.1534228451913983,0.23973953691773497,0.09436847337622002,0.10570470035428652,0.22004081803365733,0.22703149158624208,0.0074632773127507376,0.01742905870314519,0.002024337998246081,0.0,0.0,0.02428735946281907,0.0,0.0,0.05882981776664551,0.04606213775629955,0.04921820594584928,0.03768476875212799,0.047427820719133096,0.03916500318529554,0.010537234574070378,0.0025513016716116506,0.013800214683229202,0.015257463262966856,0.03955817036889026,0.0,0.020892645143463034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318386812162884,0.02826892135721449,0.0,0.0,0.08059982198656397,0.0,0.0,0.17224144353713314,0.09251017302977185,0.2003834690106919,0.0,0.12929131339366387,0.0,0.07382773083776471,0.0,0.0,0.0,0.11315239765842741,0.14480277115507206,0.28729435536299924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.06407933820576399,0.061050126326301274,0.08408484614946812,0.07023232087431644,0.06797100104526213,0.06206511232215653,0.06562610289939934,0.13205155771449445,0.15528988508672079,0.1013857989657657,0.08935196784053383,0.09520757025835769,0.13252614180022587,0.09730945427175633,0.10544840113602698,0.06597799009787074,0.11289938724683508,0.04639671391685366,0.13743021143918988,0.06604961902220018,0.08911983786973868,0.06670364412458563,0.09077149407351201,0.03803586030247857,0.03034834608165701,0.006834226617908963,0.06216619991970338,0.009451316669779934,0.00597323804227801,0.04804387445528777,0.0,0.05383541339924372,0.01831139661071245,0.23583904678407291,0.042890957744933025,0.18477158308974204,0.17791459318918607,0.07870547000874267,0.022378172592454847,0.07587326214320622,0.043311405282375204,0.10317217466276211,0.052346013310243814,0.11281117748407717,0.058422245084962035,0.05609253657317816,0.23465003954109853,0.17695178721713403,0.1580527872242825,0.28688385411881057,0.19630061127614387,0.17563676938594625,0.050837776958652464,0.23166008883432593,0.07792968552619392,0.07050970711778022,0.06602933393070598,0.22832748008451703,0.07847605028924741,0.11034876979103295,0.2268735731617718,0.2114377430165555,0.07641178138257142,0.08095030827377163,0.11710514613956781,0.0,0.0,0.07231147716589098,0.0,0.0,0.14597578938243205,0.11355827226790682,0.11649202703722578,0.08965179723758121,0.11848180233929376,0.11380993403335168,0.0556838930213983,0.09636803126373392,0.11350212430624947,0.039078494145043566,0.07917488783034926,0.0,0.10246219435086426,0.060832267925092005,0.0,0.0,0.0,0.027370157590891696,0.0,0.0,0.0,0.0,0.0,0.0,0.13309736918935633,0.029332881608719212,0.0,0.0,0.08328081722349179,0.0,0.0,0.17064028132312217,0.08661665417080136,0.19883475058367386,0.0,0.12966488466669296,0.0,0.06816169631445071,0.0,0.0,0.0,0.12774406473611374,0.16417461206934778,0.2828611958850453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.19170262809251654,0.17067062503241745,0.21188136298302,0.18409462793572645,0.20762935166545796,0.11037896078515858,0.10642651708702494,0.18269649303394592,0.2078186512693641,0.19339292807247957,0.1693246245220716,0.19285043575086847,0.22312983092646,0.18781643184390256,0.17953423098169277,0.14195143154366774,0.21491999943533638,0.09378494622985678,0.21956761962003013,0.11340081620599607,0.17579861529538698,0.15454198526524707,0.23299729364073662,0.10639578830041725,0.10231320909397844,0.11898013896896359,0.19455539620387283,0.10532859456175518,0.10946652593908518,0.18675113098740115,0.0,0.02774570110430277,0.0005890217692169391,0.23458927002073615,0.02380996130783728,0.16003415139359106,0.18258268760804142,0.0980541055712118,0.01771529227739932,0.09314425070120647,0.04459205976665132,0.10472236354941722,0.028364715057573976,0.11527713194057768,0.04893935562525222,0.04258356619413654,0.20287174015359966,0.22956258695102977,0.16400187477855496,0.24161920327006203,0.2007124122312845,0.19075714844059657,0.034954257757611615,0.21684696020824135,0.069438052061848,0.06651052448191708,0.022455271634878347,0.22308153191273417,0.0740427189304155,0.10318867443179024,0.207683259513592,0.20517154778502655,0.19149505659061755,0.17327955329472783,0.2281309493328446,0.0,0.0,0.11580688112684874,0.0,0.0,0.18695679752330013,0.1503226312548071,0.19559023631251016,0.22060249404461463,0.23043450381651234,0.1882908937581949,0.11223652680972883,0.17458691096320234,0.2024779285051275,0.07144717396976531,0.10841559490488345,0.0,0.17713067415095735,0.13307859226583146,0.0,0.0,0.0,0.20658055037399872,0.0,0.0,0.0,0.0,0.0,0.0,0.12707207685466831,0.02344428478131277,0.0,0.0,0.09415962014392168,0.0,0.0,0.16975066344626427,0.08300073543696733,0.1992843969554314,0.0,0.15737423589696795,0.0,0.06528666703841662,0.0,0.0,0.0,0.14063248475409038,0.18203086269010613,0.28153108159343615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
